scenario_id,family,runs,pass,fail,collision,brake,mixed_outcome,first_brake_s_mean,first_brake_s_std,first_brake_s_min,first_brake_s_max,first_brake_s_range,brake_gap_m_mean,brake_gap_m_std,brake_gap_m_min,brake_gap_m_max,brake_gap_m_range,minimum_bumper_gap_m_mean,minimum_bumper_gap_m_std,minimum_bumper_gap_m_min,minimum_bumper_gap_m_max,minimum_bumper_gap_m_range,maximum_deceleration_mps2_mean,maximum_deceleration_mps2_std,maximum_deceleration_mps2_min,maximum_deceleration_mps2_max,maximum_deceleration_mps2_range,maximum_abs_jerk_mps3_mean,maximum_abs_jerk_mps3_std,maximum_abs_jerk_mps3_min,maximum_abs_jerk_mps3_max,maximum_abs_jerk_mps3_range,target_confirmed_rate_pct_mean,target_confirmed_rate_pct_std,target_confirmed_rate_pct_min,target_confirmed_rate_pct_max,target_confirmed_rate_pct_range,radar_target_hazard_match_rate_pct_mean,radar_target_hazard_match_rate_pct_std,radar_target_hazard_match_rate_pct_min,radar_target_hazard_match_rate_pct_max,radar_target_hazard_match_rate_pct_range
ccrb_80_gap_40,CCRb,5,5,0,0,5,False,2.7,0.0,2.7,2.7,0.0,32.660000000000004,0.021232051243343583,32.642,32.686,0.04399999999999693,7.2666,0.011429785649783595,7.256,7.282,0.0259999999999998,12.6772,0.05200538433662472,12.626,12.749,0.12300000000000111,335.7592,104.13681899962184,250.5,463.3,212.8,94.34,0.0,94.34,94.34,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_50,CCRb,5,5,0,0,5,False,3.0,0.0,3.0,3.0,0.0,38.0818,0.008084553172561796,38.074,38.096,0.021999999999998465,8.763,0.00414728827066573,8.758,8.769,0.011000000000001009,11.0386,0.14790077755035577,10.864,11.261,0.39699999999999847,162.2668,25.293593864059723,142.032,211.736,69.70399999999998,94.74,0.0,94.74,94.74,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_60,CCRb,5,5,0,0,5,False,3.4,0.0,3.4,3.4,0.0,40.2796,0.008616263691414851,40.272,40.296,0.02400000000000091,8.9398,0.005455272678794133,8.935,8.949,0.013999999999999346,10.5978,0.3427100231974547,10.159,11.131,0.9719999999999995,155.4784,28.1288,141.414,211.736,70.322,56.91,0.0,56.91,56.91,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_80_gap_80,CCRb,5,5,0,0,5,False,4.3,0.0,4.3,4.3,0.0,40.2876,0.0018547236990997219,40.285,40.29,0.005000000000002558,8.8716,0.0013564659966253494,8.87,8.874,0.004000000000001336,10.4122,0.23424295080108629,10.132,10.663,0.5310000000000006,141.414,0.0,141.414,141.414,0.0,45.39,0.0,45.39,45.39,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_95_gap_20,CCRb,5,0,5,5,5,False,2.1,0.0,2.1,2.1,0.0,18.5624,0.0014966629547098864,18.561,18.565,0.004000000000001336,0.021,0.0031622776601683794,0.015,0.024,0.009000000000000001,135.0066,0.20628582113175206,134.613,135.223,0.6100000000000136,2506.5452,4.119120410961608,2498.68,2510.85,12.170000000000073,94.05,0.0,94.05,94.05,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_95_gap_30,CCRb,5,5,0,0,5,False,2.3,0.0,2.3,2.3,0.0,27.0346,0.016716458955174044,27.025,27.068,0.043000000000002814,3.8906,0.016057397049335106,3.873,3.921,0.0479999999999996,11.389199999999999,0.0004000000000004889,11.389,11.39,0.0010000000000012221,143.8864,5.911229638577745,138.096,153.226,15.129999999999995,94.12,0.0,94.12,94.12,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_95_gap_40,CCRb,5,5,0,0,5,False,2.55,0.0,2.55,2.55,0.0,34.4502,0.001166190378969023,34.448,34.451,0.0030000000000001137,5.827,0.006228964600959001,5.818,5.837,0.019000000000000128,11.3336,0.0004898979485563641,11.333,11.334,0.0009999999999994458,138.096,0.0,138.096,138.096,0.0,94.44,0.0,94.44,94.44,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_95_gap_50,CCRb,5,5,0,0,5,False,2.75,0.0,2.75,2.75,0.0,41.8196,0.0177042367810631,41.81,41.855,0.0449999999999946,8.4652,0.011754148203932068,8.455,8.487,0.03200000000000003,11.013399999999999,0.0004898979485563641,11.013,11.014,0.0009999999999994458,238.9396,112.87460091552927,175.46,464.538,289.078,94.78,0.0,94.78,94.78,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_95_gap_60,CCRb,5,5,0,0,5,False,3.0,0.0,3.0,3.0,0.0,47.7544,0.0004898979485589748,47.754,47.755,0.0010000000000047748,9.7492,0.0021354156504062765,9.746,9.752,0.006000000000000227,10.466,0.0,10.466,10.466,0.0,138.096,0.0,138.096,138.096,0.0,95.08,0.0,95.08,95.08,0.0,100.0,0.0,100.0,100.0,0.0
ccrb_95_gap_80,CCRb,5,5,0,0,5,False,3.65,0.0,3.65,3.65,0.0,53.3452,0.001833030277980855,53.343,53.347,0.003999999999997783,10.214,0.002190890230020099,10.21,10.216,0.005999999999998451,9.931,0.0,9.931,9.931,0.0,177.3548,9.904623372950638,166.456,193.858,27.402000000000015,51.45,0.0,51.45,51.45,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_100_70_gap_20,CCRm,5,5,0,0,5,False,0.15,0.0,0.15,0.15,0.0,18.9892,0.020575713839379475,18.964,19.006,0.04200000000000159,14.2986,0.23221162761584538,14.109,14.583,0.4740000000000002,9.3166,0.14666506059726667,9.137,9.441,0.30400000000000027,388.9368,179.20368978612018,169.458,535.256,365.798,65.436,0.9357050817431724,64.29,66.2,1.9099999999999966,100.0,0.0,100.0,100.0,0.0
ccrm_100_70_gap_30,CCRm,5,5,0,0,5,False,0.36,0.020000000000000018,0.35,0.4,0.050000000000000044,27.2174,0.16620180504434917,26.885,27.302,0.41699999999999804,16.5644,0.016206171663906338,16.552,16.595,0.04299999999999926,10.462,0.12215891289627585,10.236,10.568,0.33199999999999896,195.2548,29.932712368911705,135.418,211.2,75.78199999999998,69.084,0.132000000000005,68.82,69.15,0.3300000000000125,100.0,0.0,100.0,100.0,0.0
ccrm_100_70_gap_40,CCRm,5,5,0,0,5,False,1.55,0.0,1.55,1.55,0.0,27.316399999999998,0.01733897344135478,27.307,27.351,0.04400000000000048,19.4086,0.012737346662472762,19.401,19.434,0.03300000000000125,9.8574,0.15080000000000027,9.782,10.159,0.37700000000000067,245.264,108.99961670391322,187.702,463.212,275.51,68.18,0.0,68.18,68.18,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_100_70_gap_50,CCRm,5,5,0,0,5,False,2.71,0.019999999999999928,2.7,2.75,0.04999999999999982,27.6054,0.16922009336955232,27.267,27.694,0.4269999999999996,22.0772,0.1922897813197563,21.693,22.181,0.48799999999999955,13.0582,1.0106210763683885,11.228,13.881,2.6530000000000005,245.85920000000002,45.54596764764144,156.368,275.334,118.96600000000001,71.474,0.08799999999999955,71.43,71.65,0.21999999999999886,100.0,0.0,100.0,100.0,0.0
ccrm_100_70_gap_60,CCRm,5,5,0,0,5,False,3.95,0.0,3.95,3.95,0.0,27.1222,0.003429285639896911,27.12,27.129,0.009000000000000341,21.1604,0.009200000000000801,21.153,21.178,0.02500000000000213,11.7274,0.12567672815601152,11.647,11.977,0.33000000000000007,167.55,7.831409885837933,158.658,180.298,21.640000000000015,76.97,0.0,76.97,76.97,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_100_70_gap_80,CCRm,5,5,0,0,5,False,6.31,0.019999999999999928,6.3,6.35,0.04999999999999982,27.4232,0.1511057907560124,27.123,27.531,0.4079999999999977,21.4184,0.14620341993264072,21.13,21.537,0.40700000000000003,10.8202,0.26931721073856396,10.436,11.227,0.7910000000000004,266.5392,160.59001733158883,135.418,463.23,327.812,70.67999999999999,0.21354156504062527,70.35,70.85,0.5,100.0,0.0,100.0,100.0,0.0
ccrm_110_80_gap_20,CCRm,5,5,0,0,5,False,0.15,0.0,0.15,0.15,0.0,18.963,0.0,18.963,18.963,0.0,15.012,0.0,15.012,15.012,0.0,10.194,0.0,10.194,10.194,0.0,134.832,0.0,134.832,134.832,0.0,64.0,0.0,64.0,64.0,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_110_80_gap_30,CCRm,5,5,0,0,5,False,0.35,0.0,0.35,0.35,0.0,27.299,0.0,27.299,27.299,0.0,16.8378,0.0004000000000004889,16.837,16.838,0.0010000000000012221,12.141,0.021999999999999888,12.13,12.185,0.054999999999999716,240.62640000000002,0.48880000000000334,240.382,241.604,1.2220000000000084,69.0,0.0,69.0,69.0,0.0,100.0,0.0,100.0,100.0,0.0
ccrm_110_80_gap_40,CCRm,5,5,0,0,5,False,1.45,0.0,1.45,1.45,0.0,28.141,0.003346640106136146,28.137,28.145,0.007999999999999119,20.0784,0.010248902380254034,20.065,20.092,0.02699999999999747,10.2538,0.0009797958971135984,10.253,10.255,0.002000000000000668,161.6632,13.27284509666258,148.62,184.79,36.16999999999999,67.26,0.0,67.26,67.26,0.0,100.0,0.0,100.0,100.0,0.0
