config,suite,scenario_id,runs,pass,fail,outcome,collision,brake
safe_fallback,system_limit_extended_sweep,ccrm_100_70_gap_80,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrm_110_80_gap_20,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrm_110_80_gap_30,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrm_110_80_gap_40,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrm_110_80_gap_50,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrm_110_80_gap_60,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrm_110_80_gap_80,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_50_gap_20,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_50_gap_30,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_50_gap_40,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_50_gap_50,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_50_gap_60,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_50_gap_80,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_65_gap_20,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_65_gap_30,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_65_gap_40,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_65_gap_50,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_65_gap_60,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_65_gap_80,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_80_gap_20,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_80_gap_30,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_80_gap_40,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_80_gap_50,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_80_gap_60,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_80_gap_80,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_95_gap_20,5,0,5,all_fail,5,5
safe_fallback,system_limit_extended_sweep,ccrb_95_gap_30,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_95_gap_40,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_95_gap_50,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_95_gap_60,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_95_gap_80,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_110_gap_20,5,0,5,all_fail,5,5
safe_fallback,system_limit_extended_sweep,ccrb_110_gap_30,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_110_gap_40,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_110_gap_50,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_110_gap_60,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,ccrb_110_gap_80,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_60_40_gap_25,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_60_40_gap_35,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_60_40_gap_45,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_60_40_gap_60,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_80_50_gap_25,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_80_50_gap_35,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_80_50_gap_45,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_80_50_gap_60,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_100_60_gap_25,5,0,5,all_fail,5,5
safe_fallback,system_limit_extended_sweep,cutin_100_60_gap_35,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_100_60_gap_45,5,5,0,all_pass,0,5
safe_fallback,system_limit_extended_sweep,cutin_100_60_gap_60,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,clear_road_50,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,clear_road_65,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,clear_road_80,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,ccrs_50,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrs_60_gap_200,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrs_60_demo_150,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrs_65,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrs_80,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrm_50_20,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrm_65_30,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrm_80_50,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrb_50_to_0,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrb_65_to_0,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,ccrb_80_to_0,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,adjacent_stationary_50,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,adjacent_stationary_65,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,adjacent_stationary_80,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,non_closing_60_80,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,curve_clear_65,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,curve_clear_80,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,curve_adjacent_stationary_65,5,5,0,all_pass,0,0
safe_fallback,radar_only_regression,curve_ccrs_65,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,cut_in_65_45,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,cut_in_80_50,5,5,0,all_pass,0,5
safe_fallback,radar_only_regression,cut_out_65_35,5,5,0,all_pass,0,0
